student_id,lecture_watch_pct,checklist_pct,attended_live_class,attended_group_discussion,qa_participation_pct,dropout,recommended_activities
S281_D0,86,82,1,1,50,0,Participate more in Q&A to clarify doubts and boost retention.
S384_D1,59,40,1,0,57,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S262_D1,41,40,0,0,31,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S320_D0,83,92,1,1,99,0,"Good Job, You did Well in the Week. Keep the momentum"
S050_D1,58,41,1,0,56,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S175_D0,87,65,1,1,74,0,Make sure to complete all checklist items to stay on track.
S372_D0,89,70,0,1,70,0,Attend live classes to get real-time support and stay engaged.
S028_D1,57,41,1,0,37,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S211_D0,90,82,1,1,74,0,"Good Job, You did Well in the Week. Keep the momentum"
S236_D0,91,85,1,1,79,0,"Good Job, You did Well in the Week. Keep the momentum"
S102_D0,80,68,1,1,81,0,Make sure to complete all checklist items to stay on track.
S487_D1,47,55,0,1,44,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S403_D1,61,55,0,1,20,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S448_D1,36,65,0,1,48,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S347_D0,70,83,1,1,85,0,"Good Job, You did Well in the Week. Keep the momentum"
S140_D0,72,65,1,0,61,0,Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.
S122_D1,62,31,0,1,41,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S500_D0,71,86,1,1,81,0,"Good Job, You did Well in the Week. Keep the momentum"
S371_D0,85,77,1,1,69,0,"Good Job, You did Well in the Week. Keep the momentum"
S199_D0,85,91,1,0,89,0,Join group discussions to improve collaboration and communication skills.
S188_D1,29,65,1,0,40,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S085_D1,47,37,0,0,31,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S402_D1,26,55,0,0,47,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S060_D0,94,74,0,1,59,0,Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S329_D0,91,74,1,0,86,0,Join group discussions to improve collaboration and communication skills.
S097_D0,87,76,1,0,56,0,Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S313_D0,93,97,1,1,51,0,Participate more in Q&A to clarify doubts and boost retention.
S475_D1,59,42,1,0,45,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S300_D0,91,80,1,0,56,0,Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S278_D0,78,77,0,0,73,0,Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.
S425_D1,37,59,0,0,15,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S102_D1,36,61,0,0,30,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S440_D0,84,73,0,1,94,0,Attend live classes to get real-time support and stay engaged.
S338_D1,70,40,0,0,42,1,Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S071_D1,44,36,0,0,28,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S380_D1,29,23,1,0,19,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S262_D0,84,81,1,1,74,0,"Good Job, You did Well in the Week. Keep the momentum"
S079_D1,40,49,0,0,41,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S024_D0,70,86,1,1,88,0,"Good Job, You did Well in the Week. Keep the momentum"
S031_D0,78,87,1,1,50,0,Participate more in Q&A to clarify doubts and boost retention.
S118_D1,45,48,0,0,29,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S011_D0,80,83,1,1,70,0,"Good Job, You did Well in the Week. Keep the momentum"
S222_D0,70,65,0,0,62,0,Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.
S321_D1,40,29,0,1,47,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S297_D0,93,79,1,1,53,0,Participate more in Q&A to clarify doubts and boost retention.
S055_D0,95,84,0,1,73,0,Attend live classes to get real-time support and stay engaged.
S043_D1,60,56,0,1,27,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S210_D0,100,100,1,0,91,0,Join group discussions to improve collaboration and communication skills.
S105_D1,22,46,1,0,24,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S193_D1,29,51,0,1,33,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S163_D1,38,42,0,0,12,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S367_D1,57,15,0,0,11,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S071_D0,88,80,1,1,95,0,"Good Job, You did Well in the Week. Keep the momentum"
S044_D1,62,40,0,1,33,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S108_D0,86,65,1,1,73,0,Make sure to complete all checklist items to stay on track.
S494_D0,76,71,1,1,81,0,"Good Job, You did Well in the Week. Keep the momentum"
S091_D1,44,33,1,0,46,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S242_D1,59,50,0,0,30,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S293_D0,79,83,1,0,72,0,Join group discussions to improve collaboration and communication skills.
S290_D0,78,65,1,1,70,0,Make sure to complete all checklist items to stay on track.
S153_D1,43,25,0,1,16,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S040_D0,86,73,1,1,81,0,"Good Job, You did Well in the Week. Keep the momentum"
S090_D1,70,34,1,1,32,1,Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S308_D0,79,74,1,1,57,0,Participate more in Q&A to clarify doubts and boost retention.
S180_D1,63,41,0,0,52,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S067_D0,84,65,1,1,57,0,Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S276_D0,89,65,1,1,72,0,Make sure to complete all checklist items to stay on track.
S068_D0,95,67,1,1,88,0,Make sure to complete all checklist items to stay on track.
S319_D0,88,80,1,1,57,0,Participate more in Q&A to clarify doubts and boost retention.
S049_D1,63,42,1,0,24,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S499_D1,42,26,1,0,20,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S215_D1,58,22,0,0,17,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S254_D1,50,42,0,0,21,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S328_D0,92,73,0,1,59,0,Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S383_D0,70,74,1,1,71,0,"Good Job, You did Well in the Week. Keep the momentum"
S452_D0,94,84,1,0,60,0,Join group discussions to improve collaboration and communication skills.
S023_D1,58,55,1,0,16,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S219_D0,80,75,1,1,50,0,Participate more in Q&A to clarify doubts and boost retention.
S288_D1,49,64,1,1,60,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.
S437_D0,100,67,1,0,86,0,Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.
S265_D1,26,28,1,0,58,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S089_D0,79,89,1,1,94,0,"Good Job, You did Well in the Week. Keep the momentum"
S064_D0,73,76,1,0,81,0,Join group discussions to improve collaboration and communication skills.
S327_D1,46,41,0,0,33,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S217_D1,45,40,0,1,49,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S352_D0,99,73,0,1,98,0,Attend live classes to get real-time support and stay engaged.
S437_D1,34,61,1,0,32,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S257_D0,97,85,0,1,67,0,Attend live classes to get real-time support and stay engaged.
S136_D1,67,53,1,0,12,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S145_D1,58,55,0,0,34,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S055_D1,60,48,0,0,47,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S460_D1,45,54,1,0,31,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S169_D0,82,65,0,1,66,0,Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.
S418_D1,65,60,1,0,55,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S029_D1,59,65,1,0,31,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S324_D1,69,22,0,1,47,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S486_D1,38,34,1,0,37,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S317_D1,40,64,0,1,45,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S087_D0,94,74,0,1,70,0,Attend live classes to get real-time support and stay engaged.
S433_D0,82,65,0,1,100,0,Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.
S185_D0,82,65,0,1,83,0,Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.
S479_D1,53,52,1,0,22,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S035_D1,56,41,1,0,53,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S295_D0,88,67,1,0,75,0,Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.
S393_D1,51,56,1,0,38,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S426_D0,98,65,1,1,84,0,Make sure to complete all checklist items to stay on track.
S214_D1,55,43,0,1,29,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S261_D0,75,73,1,1,75,0,"Good Job, You did Well in the Week. Keep the momentum"
S238_D0,86,91,1,0,55,0,Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S060_D1,66,31,1,0,39,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S084_D1,68,59,1,1,40,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S446_D0,91,67,1,1,86,0,Make sure to complete all checklist items to stay on track.
S368_D1,65,40,0,0,25,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S301_D1,30,44,0,1,38,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S100_D1,38,39,0,1,38,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S350_D1,66,50,0,0,24,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S266_D0,72,71,1,1,61,0,"Good Job, You did Well in the Week. Keep the momentum"
S496_D1,40,45,1,0,27,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S030_D1,56,54,0,1,51,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S056_D0,94,75,1,0,50,0,Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S121_D0,92,70,1,0,51,0,Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S216_D0,92,93,1,1,72,0,"Good Job, You did Well in the Week. Keep the momentum"
S026_D0,86,65,1,1,77,0,Make sure to complete all checklist items to stay on track.
S073_D0,84,83,1,1,79,0,"Good Job, You did Well in the Week. Keep the momentum"
S045_D0,70,65,1,1,85,0,Make sure to complete all checklist items to stay on track.
S248_D0,78,70,1,1,82,0,"Good Job, You did Well in the Week. Keep the momentum"
S222_D1,68,26,0,1,25,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S282_D0,91,65,1,1,72,0,Make sure to complete all checklist items to stay on track.
S394_D1,46,51,1,0,50,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S415_D1,55,47,1,0,27,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S311_D1,40,57,0,0,36,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S245_D0,72,86,1,0,87,0,Join group discussions to improve collaboration and communication skills.
S323_D1,63,50,1,1,40,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S322_D0,90,96,1,1,84,0,"Good Job, You did Well in the Week. Keep the momentum"
S144_D1,44,56,1,1,45,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S159_D0,73,82,1,0,84,0,Join group discussions to improve collaboration and communication skills.
S478_D1,40,59,0,1,31,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S430_D0,70,79,1,1,78,0,"Good Job, You did Well in the Week. Keep the momentum"
S442_D1,70,59,0,0,24,1,Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S463_D0,78,82,1,1,72,0,"Good Job, You did Well in the Week. Keep the momentum"
S310_D0,82,69,1,1,73,0,Make sure to complete all checklist items to stay on track.
S198_D1,38,48,0,0,33,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S061_D0,80,83,0,0,93,0,Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.
S385_D1,39,33,1,0,45,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S096_D1,35,19,1,1,23,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S268_D1,55,35,1,0,35,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S150_D1,44,62,0,1,40,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S151_D1,48,37,1,1,38,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S366_D1,70,40,0,0,43,1,Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S169_D1,60,33,0,0,36,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S299_D0,93,80,1,1,66,0,"Good Job, You did Well in the Week. Keep the momentum"
S190_D1,60,46,1,0,11,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S315_D0,98,92,0,1,80,0,Attend live classes to get real-time support and stay engaged.
S311_D0,82,77,1,0,85,0,Join group discussions to improve collaboration and communication skills.
S362_D0,100,65,1,1,62,0,Make sure to complete all checklist items to stay on track.
S480_D0,96,89,1,1,92,0,"Good Job, You did Well in the Week. Keep the momentum"
S111_D0,70,87,0,0,71,0,Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.
S490_D1,45,61,0,0,20,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S487_D0,78,98,1,1,64,0,"Good Job, You did Well in the Week. Keep the momentum"
S364_D0,89,100,1,0,50,0,Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S255_D0,70,68,0,1,64,0,Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.
